dataset,split,cls,count
D1_Kaggle_CC,fit_train,non_fraud,181282
D1_Kaggle_CC,fit_train,fraud,302
D1_Kaggle_CC,validation,non_fraud,45320
D1_Kaggle_CC,validation,fraud,76
D1_Kaggle_CC,test,non_fraud,56651
D1_Kaggle_CC,test,fraud,95
D2_Online_Fraud,fit_train,non_fraud,190627
D2_Online_Fraud,fit_train,fraud,1373
D2_Online_Fraud,validation,non_fraud,47657
D2_Online_Fraud,validation,fraud,343
D2_Online_Fraud,test,non_fraud,59571
D2_Online_Fraud,test,fraud,429
D3_PaySim,fit_train,non_fraud,125122
D3_PaySim,fit_train,fraud,2878
D3_PaySim,validation,non_fraud,31280
D3_PaySim,validation,fraud,720
D3_PaySim,test,non_fraud,39101
D3_PaySim,test,fraud,899
