dataset,model,model_display,top_k_pct,reviewed_transactions,frauds_found,recall_at_k,precision_at_k
D1_Kaggle_CC,LR_balanced,LogReg balanced,0.01,568,81,0.8526315789473684,0.1426056338028169
D1_Kaggle_CC,LR_balanced,LogReg balanced,0.02,1135,83,0.8736842105263158,0.07312775330396476
D1_Kaggle_CC,LR_balanced,LogReg balanced,0.05,2838,83,0.8736842105263158,0.029245947850599013
D1_Kaggle_CC,LR_balanced,LogReg balanced,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,RF,Random Forest,0.01,568,80,0.8421052631578947,0.14084507042253522
D1_Kaggle_CC,RF,Random Forest,0.02,1135,81,0.8526315789473684,0.07136563876651983
D1_Kaggle_CC,RF,Random Forest,0.05,2838,82,0.8631578947368421,0.028893587033121917
D1_Kaggle_CC,RF,Random Forest,0.1,5675,84,0.8842105263157894,0.014801762114537445
D1_Kaggle_CC,BRF,Balanced RF,0.01,568,80,0.8421052631578947,0.14084507042253522
D1_Kaggle_CC,BRF,Balanced RF,0.02,1135,82,0.8631578947368421,0.0722466960352423
D1_Kaggle_CC,BRF,Balanced RF,0.05,2838,84,0.8842105263157894,0.02959830866807611
D1_Kaggle_CC,BRF,Balanced RF,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.01,568,80,0.8421052631578947,0.14084507042253522
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.02,1135,82,0.8631578947368421,0.0722466960352423
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.05,2838,83,0.8736842105263158,0.029245947850599013
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,XGB,XGBoost,0.01,568,83,0.8736842105263158,0.14612676056338028
D1_Kaggle_CC,XGB,XGBoost,0.02,1135,85,0.8947368421052632,0.07488986784140969
D1_Kaggle_CC,XGB,XGBoost,0.05,2838,85,0.8947368421052632,0.029950669485553208
D1_Kaggle_CC,XGB,XGBoost,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.01,568,82,0.8631578947368421,0.1443661971830986
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.02,1135,82,0.8631578947368421,0.0722466960352423
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.05,2838,84,0.8842105263157894,0.02959830866807611
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.01,568,80,0.8421052631578947,0.14084507042253522
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.02,1135,81,0.8526315789473684,0.07136563876651983
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.05,2838,82,0.8631578947368421,0.028893587033121917
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.01,568,80,0.8421052631578947,0.14084507042253522
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.02,1135,80,0.8421052631578947,0.07048458149779736
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.05,2838,82,0.8631578947368421,0.028893587033121917
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.1,5675,85,0.8947368421052632,0.014977973568281937
D1_Kaggle_CC,LightGBM,LightGBM balanced,0.01,568,82,0.8631578947368421,0.1443661971830986
D1_Kaggle_CC,LightGBM,LightGBM balanced,0.02,1135,82,0.8631578947368421,0.0722466960352423
D1_Kaggle_CC,LightGBM,LightGBM balanced,0.05,2838,83,0.8736842105263158,0.029245947850599013
D1_Kaggle_CC,LightGBM,LightGBM balanced,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,CatBoost,CatBoost balanced,0.01,568,81,0.8526315789473684,0.1426056338028169
D1_Kaggle_CC,CatBoost,CatBoost balanced,0.02,1135,81,0.8526315789473684,0.07136563876651983
D1_Kaggle_CC,CatBoost,CatBoost balanced,0.05,2838,84,0.8842105263157894,0.02959830866807611
D1_Kaggle_CC,CatBoost,CatBoost balanced,0.1,5675,86,0.9052631578947369,0.015154185022026432
D1_Kaggle_CC,MLP_Focal,MLP + Focal Loss,0.01,568,82,0.8631578947368421,0.1443661971830986
D1_Kaggle_CC,MLP_Focal,MLP + Focal Loss,0.02,1135,83,0.8736842105263158,0.07312775330396476
D1_Kaggle_CC,MLP_Focal,MLP + Focal Loss,0.05,2838,83,0.8736842105263158,0.029245947850599013
