threshold,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,alert_rate,false_alerts_per_10k,missed_frauds_per_10k,expected_cost,expected_cost_per_10k,dataset,model,model_display,fn_cost,fp_cost
0.9,0.9949423747929369,0.22727272727272727,0.8421052631578947,0.3579418344519016,0.4359743548884699,0.9616061963880416,0.68425477631534,56379,272,15,80,0.006203080393331689,47.93289394847214,2.64335812215839,422.0,74.36647517005605,D1_Kaggle_CC,LR_balanced,LogReg balanced,10,1
0.9,0.9949423747929369,0.22727272727272727,0.8421052631578947,0.3579418344519016,0.4359743548884699,0.9616061963880416,0.68425477631534,56379,272,15,80,0.006203080393331689,47.93289394847214,2.64335812215839,1022.0,180.10080005639165,D1_Kaggle_CC,LR_balanced,LogReg balanced,50,1
0.9,0.9949423747929369,0.22727272727272727,0.8421052631578947,0.3579418344519016,0.4359743548884699,0.9616061963880416,0.68425477631534,56379,272,15,80,0.006203080393331689,47.93289394847214,2.64335812215839,1772.0,312.26870616431114,D1_Kaggle_CC,LR_balanced,LogReg balanced,100,1
0.76,0.9886511824622,0.11392405063291139,0.8526315789473684,0.20099255583126552,0.30928640320730627,0.9616061963880416,0.68425477631534,56021,630,14,81,0.012529517499030769,111.02104113065238,2.467134247347831,7630.0,1344.5881648045677,D1_Kaggle_CC,LR_balanced,LogReg balanced,500,1
0.17,0.9995241955380115,0.9047619047619048,0.8,0.8491620111731844,0.8505372110379172,0.928856182220038,0.8103882445367392,56643,8,19,76,0.0014802805484086985,1.4097909984844748,3.3482536214006275,198.0,34.89232721249075,D1_Kaggle_CC,RF,Random Forest,10,1
0.04,0.999048391076023,0.6782608695652174,0.8210526315789474,0.7428571428571429,0.7457872418252532,0.928856182220038,0.8103882445367392,56614,37,17,78,0.0020265745603214322,6.520283367990696,2.995805871779509,887.0,156.31057695696612,D1_Kaggle_CC,RF,Random Forest,50,1
0.04,0.999048391076023,0.6782608695652174,0.8210526315789474,0.7428571428571429,0.7457872418252532,0.928856182220038,0.8103882445367392,56614,37,17,78,0.0020265745603214322,6.520283367990696,2.995805871779509,1737.0,306.1008705459416,D1_Kaggle_CC,RF,Random Forest,100,1
0.01,0.9905544003101541,0.13311148086522462,0.8421052631578947,0.22988505747126436,0.33263669854436834,0.928856182220038,0.8103882445367392,56130,521,15,80,0.010591054876114616,91.81263877630141,2.64335812215839,8021.0,1413.4916998554963,D1_Kaggle_CC,RF,Random Forest,500,1
0.85,0.9993479716632009,0.8372093023255814,0.7578947368421053,0.7955801104972375,0.7962424723314149,0.9668360014084388,0.682696483631589,56637,14,23,72,0.0015155253233708104,2.467134247347831,4.053149120642864,244.0,42.99862545377648,D1_Kaggle_CC,BRF,Balanced RF,10,1
0.75,0.9990131463010609,0.6788990825688074,0.7789473684210526,0.7254901960784313,0.7267177078802466,0.9668360014084388,0.682696483631589,56616,35,21,74,0.0019208402354350968,6.167835618369577,3.7007013710217462,1085.0,191.20290416945687,D1_Kaggle_CC,BRF,Balanced RF,50,1
