dataset,model,model_display,threshold,metric,estimate,ci_low,ci_high,bootstrap_rounds_used
D1_Kaggle_CC,XGB,XGBoost,0.05,recall,0.8,0.7240235667946511,0.8775066733400066,300
D1_Kaggle_CC,XGB,XGBoost,0.05,precision,0.8260869565217391,0.7524234693877551,0.9006481481481481,300
D1_Kaggle_CC,XGB,XGBoost,0.05,mcc,0.8126303292913175,0.7586399250361133,0.8705519776396446,300
D1_Kaggle_CC,XGB,XGBoost,0.05,pr_auc,0.8187552826807278,0.7531258447042739,0.894690700772799,300
D1_Kaggle_CC,XGB,XGBoost,0.05,roc_auc,0.9642535227231555,0.937784649481149,0.9873714672583029,300
D1_Kaggle_CC,XGB,XGBoost,0.05,expected_cost_per_10k,337.6449441370317,188.00444084164525,461.36291544778487,300
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,recall,0.8105263157894737,0.7422234042553191,0.8931862745098039,300
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,precision,0.6637931034482759,0.5835794800065822,0.7447619569986835,300
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,mcc,0.7330125491561663,0.6740870349290744,0.7996118597586541,300
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,pr_auc,0.808371403807528,0.7382356668685486,0.888718057698717,300
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,roc_auc,0.9667669730361985,0.9387466971805393,0.9886839889252507,300
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.06,expected_cost_per_10k,324.0757057766186,165.20547703802913,447.78486589363126,300
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,recall,0.8,0.7231350935657523,0.8787681912681913,300
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,precision,0.7450980392156863,0.6585,0.8314584654407102,300
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,mcc,0.7716659119278847,0.7109486957701372,0.8364432663597318,300
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,pr_auc,0.8014188118232862,0.7326955844967633,0.8814002225248577,300
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,roc_auc,0.9682508507770106,0.9499569390156914,0.9864588527132491,300
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.74,expected_cost_per_10k,339.4071828851373,197.546963662637,472.0729214393963,300
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.33,recall,0.8315789473684211,0.7688349007314524,0.9070182555780932,300
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.33,precision,0.37264150943396224,0.31065028425475816,0.4339315905839511,300
