dataset,model,model_display,brier_score,ece_10bin
D1_Kaggle_CC,LR_balanced,LogReg balanced,0.023438218260361212,0.0678237180514255
D1_Kaggle_CC,RF,Random Forest,0.0004942220597046489,0.00029561554999471323
D1_Kaggle_CC,BRF,Balanced RF,0.017894446304585344,0.0769911535614845
D1_Kaggle_CC,EasyEnsemble,EasyEnsemble,0.1452214250236968,0.37556367115939954
D1_Kaggle_CC,XGB,XGBoost,0.00044082774634398317,0.0003798096639483794
D1_Kaggle_CC,XGB_spw,XGBoost scale_pos_weight,0.0004472358725618697,0.0002490162705037968
D1_Kaggle_CC,XGB_SMOTE,XGBoost + SMOTE,0.001074422288637961,0.002456564096997963
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.001299769653759747,0.0030068025771864426
D1_Kaggle_CC,LightGBM,LightGBM balanced,0.00045056201933847223,0.00045437179821169164
D1_Kaggle_CC,CatBoost,CatBoost balanced,0.000565601916386683,0.0009739557985311248
D1_Kaggle_CC,MLP_Focal,MLP + Focal Loss,0.001131817342201195,0.016818238715449393
D1_Kaggle_CC,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.0009731137645452571,0.001806123249973213
D2_Online_Fraud,LR_balanced,LogReg balanced,0.09018765863757613,0.18070886838021488
D2_Online_Fraud,RF,Random Forest,0.002853420991683051,0.003945293055846788
D2_Online_Fraud,BRF,Balanced RF,0.03345196333333333,0.1423978333333333
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.16509751182119134,0.3971275923239522
D2_Online_Fraud,XGB,XGBoost,0.0016898876343844488,0.0005616354867876678
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.006908206380766098,0.016576746935241922
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.003371716191227946,0.010014820197034473
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.004056792967484102,0.015566223488087411
D2_Online_Fraud,LightGBM,LightGBM balanced,0.002047433860855894,0.0018398485274380403
D2_Online_Fraud,CatBoost,CatBoost balanced,0.010693450434480806,0.024762535709193186
D2_Online_Fraud,MLP_Focal,MLP + Focal Loss,0.014143924908002222,0.08596495779678226
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.006359739144657494,0.002064148185330134
D3_PaySim,LR_balanced,LogReg balanced,0.04296033813147649,0.0872910667261375
D3_PaySim,RF,Random Forest,0.0024969962500000003,0.0020207499999999995
D3_PaySim,BRF,Balanced RF,0.009846699375,0.024919875000000005
D3_PaySim,EasyEnsemble,EasyEnsemble,0.14533983938552297,0.3657476008093526
D3_PaySim,XGB,XGBoost,0.0017594534287658462,0.0013444223357372827
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.003314535066016844,0.005400710450811236
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.0040954765295483355,0.00717609152023166
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.006358658429312124,0.011534228764329885
D3_PaySim,LightGBM,LightGBM balanced,0.0018301341820171203,0.0015173521794117812
D3_PaySim,CatBoost,CatBoost balanced,0.005038538596279895,0.008458443623086724
D3_PaySim,MLP_Focal,MLP + Focal Loss,0.006749328448496651,0.026001635586451154
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.012583795648180999,0.05219391959366049
