dataset,main_model,comparison_model,comparison_model_display,both_correct,main_correct_other_wrong,main_wrong_other_correct,both_wrong,p_value,p_value_holm,significant_holm_0_05
D1_Kaggle_CC,XGB_SMOTE,LR_balanced,LogReg balanced,56441,260,18,27,3.8712718507207478e-56,7.35541651636942e-55,True
D1_Kaggle_CC,XGB_SMOTE,RF,Random Forest,56678,23,14,31,0.18774155899882317,0.6431184072479539,False
D1_Kaggle_CC,XGB_SMOTE,BRF,Balanced RF,56670,31,20,25,0.16077960181198847,0.6431184072479539,False
D1_Kaggle_CC,XGB_SMOTE,EasyEnsemble,EasyEnsemble,56608,93,20,25,1.93144963207924e-12,2.7040294849109358e-11,True
D1_Kaggle_CC,XGB_SMOTE,XGB,XGBoost,56691,10,20,25,0.09873714670538905,0.5471189434020692,False
D1_Kaggle_CC,XGB_SMOTE,XGB_spw,XGBoost scale_pos_weight,56678,23,11,34,0.05761267291381955,0.518514056224376,False
D1_Kaggle_CC,XGB_SMOTE,XGB_ADASYN,XGBoost + ADASYN,56594,107,3,42,3.4193114307046536e-28,5.470898289127446e-27,True
D1_Kaggle_CC,XGB_SMOTE,LightGBM,LightGBM balanced,56693,8,22,23,0.016124801710247997,0.17737281881272796,False
D1_Kaggle_CC,XGB_SMOTE,CatBoost,CatBoost balanced,56635,66,13,32,1.0781441177091488e-09,1.2937729412509786e-08,True
D1_Kaggle_CC,XGB_SMOTE,MLP_Focal,MLP + Focal Loss,56669,32,18,27,0.06490864707227217,0.518514056224376,False
D1_Kaggle_CC,XGB_SMOTE,MLP_Focal_SMOTE,MLP + Focal + SMOTE,56669,32,16,29,0.029304946720529308,0.29304946720529307,False
D2_Online_Fraud,XGB_SMOTE,LR_balanced,LogReg balanced,53563,5094,1008,335,0.0,0.0,True
D2_Online_Fraud,XGB_SMOTE,RF,Random Forest,56867,1790,701,642,6.4875207262677335e-109,1.4921297670415788e-107,True
D2_Online_Fraud,XGB_SMOTE,BRF,Balanced RF,57433,1224,617,726,4.129744868898845e-46,7.433540764017921e-45,True
D2_Online_Fraud,XGB_SMOTE,EasyEnsemble,EasyEnsemble,55362,3295,318,1025,0.0,0.0,True
D2_Online_Fraud,XGB_SMOTE,XGB,XGBoost,58564,93,916,427,1.0149240509779334e-170,2.74029493764042e-169,True
D2_Online_Fraud,XGB_SMOTE,XGB_spw,XGBoost scale_pos_weight,58566,91,831,512,2.923100296341319e-150,7.600060770487429e-149,True
D2_Online_Fraud,XGB_SMOTE,XGB_ADASYN,XGBoost + ADASYN,58269,388,107,1236,1.9395310076652444e-38,3.2972027130309156e-37,True
D2_Online_Fraud,XGB_SMOTE,LightGBM,LightGBM balanced,58502,155,913,430,3.341820299275968e-131,8.020368718262323e-130,True
D2_Online_Fraud,XGB_SMOTE,CatBoost,CatBoost balanced,58472,185,743,600,7.897666658367359e-80,1.579533331673472e-78,True
D2_Online_Fraud,XGB_SMOTE,MLP_Focal,MLP + Focal Loss,55516,3141,1047,296,5.082107063598056e-240,1.4229899778074559e-238,True
D2_Online_Fraud,XGB_SMOTE,MLP_Focal_SMOTE,MLP + Focal + SMOTE,56238,2419,1125,218,5.2971074008478367e-107,1.165363628186524e-105,True
D3_PaySim,XGB_SMOTE,LR_balanced,LogReg balanced,36115,3678,22,185,0.0,0.0,True
D3_PaySim,XGB_SMOTE,RF,Random Forest,39688,105,33,174,6.093645485136748e-10,7.921739130677772e-09,True
D3_PaySim,XGB_SMOTE,BRF,Balanced RF,39311,482,5,202,1.1309672148378585e-135,2.827418037094646e-134,True
D3_PaySim,XGB_SMOTE,EasyEnsemble,EasyEnsemble,37314,2479,6,201,0.0,0.0,True
D3_PaySim,XGB_SMOTE,XGB,XGBoost,39765,28,45,162,0.060370037339928545,0.518514056224376,False
D3_PaySim,XGB_SMOTE,XGB_spw,XGBoost scale_pos_weight,39766,27,42,165,0.09118649056701154,0.5471189434020692,False
D3_PaySim,XGB_SMOTE,XGB_ADASYN,XGBoost + ADASYN,39759,34,35,172,0.9999999999999998,1.0,False
D3_PaySim,XGB_SMOTE,LightGBM,LightGBM balanced,39780,13,100,107,8.471157872064742e-18,1.2706736808097113e-16,True
D3_PaySim,XGB_SMOTE,CatBoost,CatBoost balanced,39746,47,40,167,0.5202915935750733,1.0,False
D3_PaySim,XGB_SMOTE,MLP_Focal,MLP + Focal Loss,38809,984,18,189,6.600087381438787e-264,1.914025340617248e-262,True
D3_PaySim,XGB_SMOTE,MLP_Focal_SMOTE,MLP + Focal + SMOTE,39310,483,45,162,1.0045778235337733e-93,2.109613429420924e-92,True
