dataset,feature,psi,ks_statistic
D1_Kaggle_CC,Time,11.512810339415546,1.0
D1_Kaggle_CC,V1,1.349494977352304,0.33259560936344823
D1_Kaggle_CC,V2,0.019872422109827037,0.03355810506891321
D1_Kaggle_CC,V3,0.9186861994258572,0.4346010860098687
D1_Kaggle_CC,V4,0.16624490963268126,0.16162711667365515
D1_Kaggle_CC,V5,0.191612953987421,0.1978048787706292
D1_Kaggle_CC,V6,0.07342710542501855,0.11454504910801477
D1_Kaggle_CC,V7,0.08838467674900559,0.11107364568085815
D1_Kaggle_CC,V8,0.051885152602187186,0.0963989316932628
D1_Kaggle_CC,V9,0.07308648503547382,0.05509909006835628
D1_Kaggle_CC,V10,0.03870535926239764,0.04541063325823491
D1_Kaggle_CC,V11,0.39921977301000233,0.17901549025405883
D1_Kaggle_CC,V12,0.2589125967620802,0.10630563324762944
D1_Kaggle_CC,V13,0.050399808854550164,0.056097117112499095
D1_Kaggle_CC,V14,0.0971664472121081,0.10343217109984537
D1_Kaggle_CC,V15,0.24915568258652193,0.20741244887655957
D1_Kaggle_CC,V16,0.009149856079329461,0.02486067599776509
D1_Kaggle_CC,V17,0.04795730467216176,0.09267149763868548
D1_Kaggle_CC,V18,0.030738846741156664,0.07266086788722659
D1_Kaggle_CC,V19,0.03235856638661767,0.06001892168336159
D1_Kaggle_CC,V20,0.06426636321740037,0.11813611656622525
D1_Kaggle_CC,V21,0.1204672215916173,0.12272337258882027
D1_Kaggle_CC,V22,0.1958363700102202,0.15943060365765493
D1_Kaggle_CC,V23,0.15583037292854304,0.1656120396008416
D1_Kaggle_CC,V24,0.14994675423129272,0.07366414737021454
D1_Kaggle_CC,V25,0.3220570144554907,0.26312698149570435
D1_Kaggle_CC,V26,0.1540058063972564,0.07214269395892353
D1_Kaggle_CC,V27,0.0491201488620561,0.06583916642278081
D1_Kaggle_CC,V28,0.6443167725473962,0.2803337044640124
D1_Kaggle_CC,Amount,0.009855296757130589,0.04663771096760966
D2_Online_Fraud,Unnamed: 0,11.512810335715578,1.0
D2_Online_Fraud,cc_num,0.00011121968570512932,0.0027468750000000375
D2_Online_Fraud,amt,0.0003121366486336514,0.00639270833333333
D2_Online_Fraud,zip,0.00018792220568894435,0.0024947916666666625
D2_Online_Fraud,lat,0.00020209139501936745,0.0023875000000000424
D2_Online_Fraud,long,0.00023663297617936843,0.0029729166666666584
D2_Online_Fraud,city_pop,0.0002600355585134262,0.00392916666666665
D2_Online_Fraud,unix_time,11.512810335715578,1.0
D2_Online_Fraud,merch_lat,0.00023535967134817912,0.0025760416666666397
D2_Online_Fraud,merch_long,0.0001610369586550678,0.0031468749999999934
D2_Online_Fraud,trans_date_trans_time_hour,0.0005802222968314675,0.011394791666666626
D2_Online_Fraud,trans_date_trans_time_dayofweek,0.01574545034267695,0.05482500000000001
D2_Online_Fraud,trans_date_trans_time_month,12.260906254279703,1.0
D3_PaySim,step,11.51358667291254,1.0
D3_PaySim,amount,0.010306959190589295,0.03190000000000004
D3_PaySim,oldbalanceOrg,0.0013347647831259348,0.012546874999999957
D3_PaySim,newbalanceOrig,0.000693363844744174,0.010390624999999987
D3_PaySim,oldbalanceDest,0.0024030894857004796,0.015145312499999952
D3_PaySim,newbalanceDest,0.0032135729801909844,0.016009375000000103
D3_PaySim,isFlaggedFraud,,9.375000000089173e-06
