dataset,rank,feature,mean_abs_shap
D1_Kaggle_CC,1,V14,2.1925101280212402
D1_Kaggle_CC,2,V4,1.5506879091262817
D1_Kaggle_CC,3,V11,0.6710361838340759
D1_Kaggle_CC,4,V8,0.6122183203697205
D1_Kaggle_CC,5,V3,0.6030983328819275
D1_Kaggle_CC,6,V12,0.5179224610328674
D1_Kaggle_CC,7,V10,0.5108963847160339
D1_Kaggle_CC,8,V1,0.4412039518356323
D1_Kaggle_CC,9,V15,0.38251832127571106
D1_Kaggle_CC,10,V5,0.37753617763519287
D1_Kaggle_CC,11,V26,0.36632004380226135
D1_Kaggle_CC,12,V18,0.3272433876991272
D1_Kaggle_CC,13,V20,0.316874623298645
D1_Kaggle_CC,14,V17,0.2795794606208801
D1_Kaggle_CC,15,V27,0.26118117570877075
D2_Online_Fraud,1,amt,2.332357168197632
D2_Online_Fraud,2,trans_date_trans_time_hour,0.7255419492721558
D2_Online_Fraud,3,trans_date_trans_time_dayofweek,0.5960611701011658
D2_Online_Fraud,4,category_gas_transport,0.29858967661857605
D2_Online_Fraud,5,trans_date_trans_time_month,0.22846189141273499
D2_Online_Fraud,6,city_pop,0.22615359723567963
D2_Online_Fraud,7,category_shopping_pos,0.17549443244934082
D2_Online_Fraud,8,category_grocery_pos,0.15333548188209534
D2_Online_Fraud,9,unix_time,0.12269405275583267
D2_Online_Fraud,10,gender_F,0.0951932892203331
D2_Online_Fraud,11,category_food_dining,0.0931200161576271
D2_Online_Fraud,12,category_misc_pos,0.07869461178779602
D2_Online_Fraud,13,category_travel,0.07610253244638443
D2_Online_Fraud,14,category_entertainment,0.0718766450881958
D2_Online_Fraud,15,category_kids_pets,0.06832052022218704
D3_PaySim,1,newbalanceOrig,3.7096140384674072
D3_PaySim,2,oldbalanceOrg,3.383212089538574
D3_PaySim,3,amount,1.3713698387145996
D3_PaySim,4,type_PAYMENT,1.3310918807983398
D3_PaySim,5,type_CASH_OUT,0.8622838258743286
D3_PaySim,6,step,0.590775191783905
D3_PaySim,7,newbalanceDest,0.5227759480476379
D3_PaySim,8,type_TRANSFER,0.37578195333480835
D3_PaySim,9,oldbalanceDest,0.30269455909729004
D3_PaySim,10,type_CASH_IN,0.15408042073249817
D3_PaySim,11,type_DEBIT,0.010036013089120388
