dataset,case_type,test_row_index,rank,feature,feature_value,shap_value,predicted_probability,threshold
D1_Kaggle_CC,true_positive,845,1,V14,-4.160763740539551,3.4659528732299805,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,2,V10,-3.5710575580596924,1.514760136604309,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,3,V17,-5.916055202484131,1.1995583772659302,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,4,V12,-3.905374050140381,0.6901363730430603,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,5,V4,1.3897953033447266,0.588206946849823,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,6,V8,2.2353901863098145,-0.5389337539672852,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,7,V2,1.289556622505188,-0.4403059482574463,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,8,V21,2.0609731674194336,0.40395092964172363,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,9,V7,-2.0955116748809814,0.39420410990715027,0.9992677569389343,0.74
D1_Kaggle_CC,true_positive,845,10,V28,3.0181961059570312,-0.3653603792190552,0.9992677569389343,0.74
D1_Kaggle_CC,false_positive,2196,1,V14,-2.6663765907287598,1.613358736038208,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,2,V4,2.7407479286193848,1.237025260925293,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,3,V22,-0.8808979988098145,-0.8689900636672974,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,4,V11,-0.25328370928764343,-0.8185349106788635,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,5,V27,-0.35656240582466125,-0.43761318922042847,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,6,V3,-1.1500911712646484,0.4104606509208679,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,7,V7,0.841569185256958,-0.353695273399353,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,8,V20,0.6541377902030945,-0.3412117063999176,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,9,V26,-0.3450481593608856,0.31868624687194824,0.7552497982978821,0.74
D1_Kaggle_CC,false_positive,2196,10,V8,-0.5858061909675598,0.30291497707366943,0.7552497982978821,0.74
D2_Online_Fraud,true_positive,87,1,amt,4.435490608215332,3.709232807159424,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,2,category_grocery_pos,1.0,1.6777141094207764,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,3,trans_date_trans_time_dayofweek,0.0,-0.7446277737617493,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,4,city_pop,3.6423282623291016,-0.18817460536956787,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,5,category_gas_transport,0.0,-0.1301487237215042,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,6,gender_F,0.0,-0.1253785640001297,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,7,category_shopping_pos,0.0,0.12384124845266342,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,8,"merchant_fraud_Goldner, Kovacek and Abbott",1.0,-0.09462346881628036,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,9,category_personal_care,0.0,-0.03812968358397484,0.9713594913482666,0.07
D2_Online_Fraud,true_positive,87,10,trans_date_trans_time_month,1.5,-0.03718642145395279,0.9713594913482666,0.07
D2_Online_Fraud,false_positive,29,1,category_food_dining,1.0,1.2664344310760498,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,2,state_WV,1.0,-0.8608186841011047,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,3,amt,1.5257089138031006,-0.7823350429534912,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,4,trans_date_trans_time_hour,0.0,-0.6496455073356628,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,5,city_pop,0.20393158495426178,0.15858891606330872,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,6,category_grocery_pos,0.0,-0.1403760015964508,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,7,trans_date_trans_time_month,2.25,0.13377414643764496,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,8,category_gas_transport,0.0,-0.13064387440681458,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,9,trans_date_trans_time_dayofweek,0.75,-0.10648372769355774,0.16398455202579498,0.07
D2_Online_Fraud,false_positive,29,10,gender_F,1.0,0.091396763920784,0.16398455202579498,0.07
D3_PaySim,true_positive,113,1,oldbalanceOrg,4.533134937286377,6.87026309967041,0.9945244789123535,0.48
D3_PaySim,true_positive,113,2,amount,2.6918997764587402,-2.508352756500244,0.9945244789123535,0.48
D3_PaySim,true_positive,113,3,newbalanceOrig,0.0,1.2677264213562012,0.9945244789123535,0.48
D3_PaySim,true_positive,113,4,oldbalanceDest,4.024477481842041,-0.5259691476821899,0.9945244789123535,0.48
D3_PaySim,true_positive,113,5,type_CASH_OUT,1.0,0.36016175150871277,0.9945244789123535,0.48
D3_PaySim,true_positive,113,6,newbalanceDest,3.8291778564453125,-0.3213313817977905,0.9945244789123535,0.48
D3_PaySim,true_positive,113,7,type_PAYMENT,0.0,0.19281788170337677,0.9945244789123535,0.48
D3_PaySim,true_positive,113,8,step,2.005847930908203,-0.10943712294101715,0.9945244789123535,0.48
D3_PaySim,true_positive,113,9,type_TRANSFER,0.0,-0.09939206391572952,0.9945244789123535,0.48
D3_PaySim,true_positive,113,10,type_CASH_IN,0.0,0.08936300128698349,0.9945244789123535,0.48
D3_PaySim,false_positive,148,1,oldbalanceOrg,1.9648306369781494,3.4576804637908936,0.8814373016357422,0.48
D3_PaySim,false_positive,148,2,amount,1.2553328275680542,-1.7603071928024292,0.8814373016357422,0.48
D3_PaySim,false_positive,148,3,newbalanceOrig,0.0,1.2193888425827026,0.8814373016357422,0.48
D3_PaySim,false_positive,148,4,step,0.10526315867900848,-0.6205352544784546,0.8814373016357422,0.48
D3_PaySim,false_positive,148,5,oldbalanceDest,2.4471709728240967,-0.47520002722740173,0.8814373016357422,0.48
D3_PaySim,false_positive,148,6,type_CASH_OUT,1.0,0.29704397916793823,0.8814373016357422,0.48
D3_PaySim,false_positive,148,7,newbalanceDest,2.2593631744384766,-0.23779280483722687,0.8814373016357422,0.48
D3_PaySim,false_positive,148,8,type_PAYMENT,0.0,0.19566401839256287,0.8814373016357422,0.48
D3_PaySim,false_positive,148,9,type_TRANSFER,0.0,-0.14047056436538696,0.8814373016357422,0.48
D3_PaySim,false_positive,148,10,type_CASH_IN,0.0,0.08436935395002365,0.8814373016357422,0.48
