Dataset,Comparison,b,c,p_value,Significant
D1 (Kaggle CC),B: SMOTE+XGBoost vs A: XGBoost (no SMOTE),6,40,0.0,True
D1 (Kaggle CC),B: SMOTE+XGBoost vs C: LogReg+SMOTE,1451,19,0.0,True
D1 (Kaggle CC),B: SMOTE+XGBoost vs D: RF+SMOTE,4,33,1e-06,True
D1 (Kaggle CC),B: SMOTE+XGBoost vs E1: MLP+CE (no SMOTE),9,37,4.1e-05,True
D1 (Kaggle CC),B: SMOTE+XGBoost vs E2: MLP+Focal (no SMOTE),12,36,0.000717,True
D1 (Kaggle CC),B: SMOTE+XGBoost vs E3: MLP+CE+SMOTE,18,31,0.085433,False
D1 (Kaggle CC),B: SMOTE+XGBoost vs E4: MLP+Focal+SMOTE,32,29,0.798153,False
D2 (Online Fraud),B: SMOTE+XGBoost vs A: XGBoost (no SMOTE),50,211,0.0,True
D2 (Online Fraud),B: SMOTE+XGBoost vs C: LogReg+SMOTE,4158,100,0.0,True
D2 (Online Fraud),B: SMOTE+XGBoost vs D: RF+SMOTE,47,175,0.0,True
D2 (Online Fraud),B: SMOTE+XGBoost vs E1: MLP+CE (no SMOTE),126,178,0.003377,True
D2 (Online Fraud),B: SMOTE+XGBoost vs E2: MLP+Focal (no SMOTE),238,167,0.00049,True
D2 (Online Fraud),B: SMOTE+XGBoost vs E3: MLP+CE+SMOTE,1016,100,0.0,True
D2 (Online Fraud),B: SMOTE+XGBoost vs E4: MLP+Focal+SMOTE,1135,114,0.0,True
D3 (PaySim),B: SMOTE+XGBoost vs A: XGBoost (no SMOTE),57,158,0.0,True
D3 (PaySim),B: SMOTE+XGBoost vs C: LogReg+SMOTE,1778,55,0.0,True
D3 (PaySim),B: SMOTE+XGBoost vs D: RF+SMOTE,31,66,0.00049,True
D3 (PaySim),B: SMOTE+XGBoost vs E1: MLP+CE (no SMOTE),233,191,0.046338,True
D3 (PaySim),B: SMOTE+XGBoost vs E2: MLP+Focal (no SMOTE),214,191,0.274292,False
D3 (PaySim),B: SMOTE+XGBoost vs E3: MLP+CE+SMOTE,341,74,0.0,True
D3 (PaySim),B: SMOTE+XGBoost vs E4: MLP+Focal+SMOTE,380,72,0.0,True
