Dataset,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,TrainTime_s,Latency_ms,Latency_display
D1 (Kaggle CC),A: XGBoost (no SMOTE),0.9995594403129736,0.972972972972973,0.7578947368421053,0.8520710059171598,0.9771530023625726,0.8230596621211266,0.8585273279079413,8.44,0.0077621368670645905,~0.0078 ms
D1 (Kaggle CC),B: SMOTE+XGBoost,0.9989602791386177,0.6551724137931034,0.8,0.7203791469194313,0.9717381306968149,0.8103870345066918,0.7234688358318448,15.56,0.005784404629467448,~0.0058 ms
D1 (Kaggle CC),C: LogReg+SMOTE,0.9737250202657456,0.05313700384122919,0.8736842105263158,0.10018105009052504,0.9618504434817429,0.6768371367155248,0.21178619554434439,2.4,0.0007288602091464183,~0.73 μs
D1 (Kaggle CC),D: RF+SMOTE,0.9994713283755683,0.9113924050632911,0.7578947368421053,0.8275862068965517,0.9493554719617529,0.8071740151427906,0.830854576899801,243.31,0.015054637954782365,~0.0151 ms
D1 (Kaggle CC),E1: MLP+CE (no SMOTE),0.9994537059880872,0.8902439024390244,0.7684210526315789,0.8248587570621468,0.9703107391610125,0.7213476464393128,0.8268267323319998,168.81,0.001474244935820177,~0.0015 ms
D1 (Kaggle CC),E2: MLP+Focal (no SMOTE),0.9993832164381631,0.875,0.7368421052631579,0.8,0.9740986594745853,0.6993204163711793,0.8026564547125327,251.94,0.004492538604612636,~0.0045 ms
D1 (Kaggle CC),E3: MLP+CE+SMOTE,0.9991893701758714,0.7634408602150538,0.7473684210526316,0.7553191489361702,0.9503738959408902,0.794837125020062,0.7549560710795508,951.88,0.009884497496943359,~0.0099 ms
D1 (Kaggle CC),E4: MLP+Focal+SMOTE,0.9989074119761745,0.6486486486486487,0.7578947368421053,0.6990291262135923,0.9431031551447505,0.7888215100271992,0.7006092648530162,1965.21,0.014982115784164664,~0.0150 ms
D2 (Online Fraud),A: XGBoost (no SMOTE),0.9983,0.9554317548746518,0.7995337995337995,0.8705583756345178,0.9988676222246248,0.9399898805476846,0.8732072235394556,7.8,0.006340618928273519,~0.0063 ms
D2 (Online Fraud),B: SMOTE+XGBoost,0.9956166666666667,0.6374172185430463,0.8974358974358975,0.7454017424975798,0.9947414612771917,0.885413012921954,0.7543445347994696,14.15,0.005734447638193766,~0.0057 ms
D2 (Online Fraud),C: LogReg+SMOTE,0.9279833333333334,0.07022968197879859,0.7412587412587412,0.12830340932015333,0.8886470274897531,0.2122643866288841,0.21390008201610536,2.26,0.0004203081130981445,~0.42 μs
D2 (Online Fraud),D: RF+SMOTE,0.99775,0.8602941176470589,0.8181818181818182,0.8387096774193549,0.9931849554148995,0.8999135794646281,0.8378449582743963,163.8,0.01604735056559245,~0.0160 ms
D2 (Online Fraud),E1: MLP+CE (no SMOTE),0.9964833333333334,0.8385093167701864,0.6293706293706294,0.7190412782956058,0.9825193216188836,0.7525615146876419,0.7247942394213613,341.53,0.004099110762278238,~0.0041 ms
D2 (Online Fraud),E2: MLP+Focal (no SMOTE),0.9944333333333333,0.673992673992674,0.4289044289044289,0.5242165242165242,0.9731099897288144,0.5410849368578908,0.5350871433507073,654.34,0.019934030373891194,~0.0199 ms
D2 (Online Fraud),E3: MLP+CE+SMOTE,0.98035,0.2513262599469496,0.8834498834498834,0.3913267940113578,0.9811667994928306,0.7860004554220553,0.46532997741397963,711.73,0.0008581876754760742,~0.86 μs
D2 (Online Fraud),E4: MLP+Focal+SMOTE,0.9786,0.23529411764705882,0.8857808857808858,0.37181996086105673,0.9807810381915231,0.777640838513059,0.45034988451504987,785.9,0.002734402815500895,~0.0027 ms
D3 (PaySim),A: XGBoost (no SMOTE),0.997325,0.9572748267898383,0.9221357063403782,0.9393767705382436,0.9993657508112174,0.9890776808898368,0.9381810620655819,3.42,0.0065496921539306635,~0.0065 ms
D3 (PaySim),B: SMOTE+XGBoost,0.9948,0.8202038924930491,0.9844271412680756,0.8948432760364005,0.9991037727542764,0.9869806505339286,0.8961078097347176,6.38,0.00523449182510376,~0.0052 ms
D3 (PaySim),C: LogReg+SMOTE,0.951725,0.3038022813688213,0.8887652947719689,0.4528194956078209,0.9811632684859173,0.7901286636456872,0.5035172897190442,1.18,0.00024322867393493654,~0.24 μs
D3 (PaySim),D: RF+SMOTE,0.995675,0.8524271844660194,0.9766407119021134,0.9103162260238465,0.9977729731556555,0.9828215888676869,0.910317087676211,28.93,0.010254615545272827,~0.0103 ms
D3 (PaySim),E1: MLP+CE (no SMOTE),0.99375,0.9723435225618632,0.743047830923248,0.8423707440100883,0.9933412511831899,0.9072716159606597,0.847149354939904,130.09,0.0008304119110107422,~0.83 μs
D3 (PaySim),E2: MLP+Focal (no SMOTE),0.994225,0.9868804664723032,0.7530589543937709,0.8542586750788643,0.9970103379346246,0.9385849524778529,0.8594771158144671,262.55,0.0033061444759368897,~0.0033 ms
D3 (PaySim),E3: MLP+CE+SMOTE,0.988125,0.658920539730135,0.9777530589543938,0.787281683833408,0.9974165475855163,0.9690173933860046,0.7975552018245731,2054.37,0.0007152438163757325,~0.72 μs
D3 (PaySim),E4: MLP+Focal+SMOTE,0.9871,0.640087783467447,0.9733036707452726,0.7722859664607238,0.9969564857832737,0.9613838004887404,0.7838040983270934,625.78,0.007480418682098389,~0.0075 ms
