Dataset,Model,Recall,Precision,F1,ROC-AUC,PR-AUC,MCC,Train(s),Latency
D1 (Kaggle CC),A: XGBoost (no SMOTE),0.7579,0.9730,0.8521,0.9772,0.8231,0.8585,8.4,~0.0078 ms
D1 (Kaggle CC),B: SMOTE+XGBoost,0.8000,0.6552,0.7204,0.9717,0.8104,0.7235,15.6,~0.0058 ms
D1 (Kaggle CC),C: LogReg+SMOTE,0.8737,0.0531,0.1002,0.9619,0.6768,0.2118,2.4,~0.73 μs
D1 (Kaggle CC),D: RF+SMOTE,0.7579,0.9114,0.8276,0.9494,0.8072,0.8309,243.3,~0.0151 ms
D1 (Kaggle CC),E1: MLP+CE (no SMOTE),0.7684,0.8902,0.8249,0.9703,0.7213,0.8268,168.8,~0.0015 ms
D1 (Kaggle CC),E2: MLP+Focal (no SMOTE),0.7368,0.8750,0.8000,0.9741,0.6993,0.8027,251.9,~0.0045 ms
D1 (Kaggle CC),E3: MLP+CE+SMOTE,0.7474,0.7634,0.7553,0.9504,0.7948,0.7550,951.9,~0.0099 ms
D1 (Kaggle CC),E4: MLP+Focal+SMOTE,0.7579,0.6486,0.6990,0.9431,0.7888,0.7006,1965.2,~0.0150 ms
D2 (Online Fraud),A: XGBoost (no SMOTE),0.7995,0.9554,0.8706,0.9989,0.9400,0.8732,7.8,~0.0063 ms
D2 (Online Fraud),B: SMOTE+XGBoost,0.8974,0.6374,0.7454,0.9947,0.8854,0.7543,14.2,~0.0057 ms
D2 (Online Fraud),C: LogReg+SMOTE,0.7413,0.0702,0.1283,0.8886,0.2123,0.2139,2.3,~0.42 μs
D2 (Online Fraud),D: RF+SMOTE,0.8182,0.8603,0.8387,0.9932,0.8999,0.8378,163.8,~0.0160 ms
D2 (Online Fraud),E1: MLP+CE (no SMOTE),0.6294,0.8385,0.7190,0.9825,0.7526,0.7248,341.5,~0.0041 ms
D2 (Online Fraud),E2: MLP+Focal (no SMOTE),0.4289,0.6740,0.5242,0.9731,0.5411,0.5351,654.3,~0.0199 ms
D2 (Online Fraud),E3: MLP+CE+SMOTE,0.8834,0.2513,0.3913,0.9812,0.7860,0.4653,711.7,~0.86 μs
D2 (Online Fraud),E4: MLP+Focal+SMOTE,0.8858,0.2353,0.3718,0.9808,0.7776,0.4503,785.9,~0.0027 ms
D3 (PaySim),A: XGBoost (no SMOTE),0.9221,0.9573,0.9394,0.9994,0.9891,0.9382,3.4,~0.0065 ms
D3 (PaySim),B: SMOTE+XGBoost,0.9844,0.8202,0.8948,0.9991,0.9870,0.8961,6.4,~0.0052 ms
D3 (PaySim),C: LogReg+SMOTE,0.8888,0.3038,0.4528,0.9812,0.7901,0.5035,1.2,~0.24 μs
D3 (PaySim),D: RF+SMOTE,0.9766,0.8524,0.9103,0.9978,0.9828,0.9103,28.9,~0.0103 ms
D3 (PaySim),E1: MLP+CE (no SMOTE),0.7430,0.9723,0.8424,0.9933,0.9073,0.8471,130.1,~0.83 μs
D3 (PaySim),E2: MLP+Focal (no SMOTE),0.7531,0.9869,0.8543,0.9970,0.9386,0.8595,262.6,~0.0033 ms
D3 (PaySim),E3: MLP+CE+SMOTE,0.9778,0.6589,0.7873,0.9974,0.9690,0.7976,2054.4,~0.72 μs
D3 (PaySim),E4: MLP+Focal+SMOTE,0.9733,0.6401,0.7723,0.9970,0.9614,0.7838,625.8,~0.0075 ms
